Order Date,Sales,Year,Month,Quarter,Week,Day,DayOfWeek,DayOfYear,IsWeekend,Lag_1,Lag_7,Lag_30,Rolling_Mean_7,Rolling_Mean_30
2015-02-14,576.726,2015,2,1,7,14,5,45,1,129.568,97.112,16.448,487.06714285714287,612.5462333333332
2015-02-15,21.36,2015,2,1,7,15,6,46,1,576.726,134.384,288.06,470.92085714285713,603.6562333333333
2015-02-16,9.04,2015,2,1,8,16,0,47,0,21.36,330.512,19.536,424.99628571428576,603.3063666666666
2015-02-17,54.208,2015,2,1,8,17,1,48,0,9.04,180.32,4407.1,406.9802857142857,458.2099666666666
2015-02-18,37.784,2015,2,1,8,18,2,49,0,54.208,14.56,87.15799999999999,410.29799999999994,456.5641666666667
2015-02-20,95.59,2015,2,1,8,20,4,51,0,37.784,2043.4,40.544,132.03942857142857,458.39903333333336
2015-02-21,8.85,2015,2,1,8,21,5,52,1,95.59,129.568,54.83,114.794,456.8663666666667
2015-02-22,19.44,2015,2,1,8,22,6,53,1,8.85,576.726,9.94,35.181714285714285,457.18303333333336
2015-02-23,11.364,2015,2,1,9,23,0,54,0,19.44,21.36,3553.795,33.75371428571428,339.102
2015-02-24,55.672,2015,2,1,9,24,1,55,0,11.364,9.04,61.96,40.41542857142857,338.89239999999995
2015-02-27,19.456,2015,2,1,9,27,4,58,0,55.672,54.208,149.95,35.45085714285714,334.5426
2015-03-01,2203.151,2015,3,1,9,1,6,60,1,19.456,37.784,299.964,344.78899999999993,397.98216666666667
2015-03-02,47.76,2015,3,1,10,2,0,61,0,2203.151,95.59,64.864,337.9561428571428,397.4120333333333
2015-03-03,1345.8919999999998,2015,3,1,10,3,1,62,0,47.76,8.85,378.594,528.9621428571428,429.6553
2015-03-04,370.452,2015,3,1,10,4,2,63,0,1345.8919999999998,19.44,2673.87,579.1067142857142,352.8747
2015-03-05,705.562,2015,3,1,10,5,3,64,0,370.452,11.364,40.08,678.2778571428571,375.0574333333333
2015-03-07,1561.062,2015,3,1,10,7,5,66,1,705.562,55.672,1097.25,893.3335714285713,390.5178333333333
2015-03-10,741.956,2015,3,1,11,10,1,69,0,1561.062,19.456,426.67,996.547857142857,401.02736666666664
2015-03-11,918.314,2015,3,1,11,11,2,70,0,741.956,2203.151,3.928,812.9997142857143,431.5069
2015-03-14,2108.55,2015,3,1,11,14,5,73,1,918.314,47.76,240.5,1107.3982857142857,493.77523333333323
2015-03-15,370.782,2015,3,1,11,15,6,74,1,2108.55,1345.8919999999998,290.666,968.0968571428572,496.44576666666666
2015-03-16,471.92,2015,3,1,12,16,0,75,0,370.782,370.452,468.9,982.5922857142858,496.5464333333333
2015-03-17,3960.358,2015,3,1,12,17,1,76,0,471.92,705.562,211.646,1447.5631428571428,621.5035
2015-03-18,28106.716,2015,3,1,12,18,2,77,0,3960.358,1561.062,97.112,5239.7994285714285,1555.1569666666667
2015-03-19,590.762,2015,3,1,12,19,3,78,0,28106.716,741.956,134.384,5218.200285714286,1570.3695666666667
2015-03-21,4109.816,2015,3,1,12,21,5,80,1,590.762,918.314,330.512,5674.129142857143,1696.3463666666664
2015-03-22,464.093,2015,3,1,12,22,6,81,1,4109.816,2108.55,180.32,5439.206714285714,1705.8054666666665
2015-03-23,945.064,2015,3,1,13,23,0,82,0,464.093,370.782,14.56,5521.247,1736.8222666666666
2015-03-24,65.38,2015,3,1,13,24,1,83,0,945.064,471.92,2043.4,5463.169857142857,1670.8882666666666
2015-03-25,459.146,2015,3,1,13,25,2,84,0,65.38,3960.358,129.568,4962.996714285714,1681.8742
2015-03-26,145.13,2015,3,1,13,26,3,85,0,459.146,28106.716,576.726,968.484428571428,1667.4876666666667
2015-03-28,1493.216,2015,3,1,13,28,5,87,1,145.13,590.762,21.36,1097.406428571428,1716.5495333333333
2015-03-29,890.841,2015,3,1,13,29,6,88,1,1493.216,4109.816,9.04,637.5528571428566,1745.9429000000002
2015-03-30,1170.322,2015,3,1,14,30,0,89,0,890.841,464.093,54.208,738.4427142857138,1783.1467
2015-03-31,1959.552,2015,3,1,14,31,1,90,0,1170.322,945.064,37.784,883.3695714285708,1847.2056333333333
2015-04-01,119.888,2015,4,2,14,1,2,91,0,1959.552,65.38,95.59,891.1564285714279,1848.0155666666665
2015-04-02,1458.558,2015,4,2,14,2,3,92,0,119.888,459.146,8.85,1033.9295714285709,1896.3391666666669
2015-04-04,475.844,2015,4,2,14,4,5,94,1,1458.558,145.13,19.44,1081.174428571428,1911.5526333333332
